Comment,Designator,Footprint,LCSC,Quantity
470,"R1,R12,R2,R3,R4,R5,R6,R7",R_0402_1005Metric,C11702,8
2u2,"C11,C4,C9",C_0402_1005Metric,C12530,3
GREEN,"D1,D6",LED_0603_1608Metric,C12624,2
100nF,"C10,C17,C18,C2,C3,C6,C7,C8",C_0402_1005Metric,C1525,8
15pF,"C19,C20",C_0402_1005Metric,C1548,2
Conn_01x08_MountingPin,J2,CONN-TH_SM08B-SRSS-TB-LF-SN,C160407,1
RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
12MHz,Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C20625731,1
RED,"D2,D5",LED_0603_1608Metric,C2286,2
100nF,"C1,C16",C_0402_1005Metric,C23630,2
100R,"R13,R14,R15,R16,R17,R18,R9",R_0402_1005Metric,C25076,7
27R,"R24,R25",R_0402_1005Metric,C25100,2
10k,"R19,R20",R_0402_1005Metric,C25744,2
5k1,"R10,R11",R_0402_1005Metric,C25905,2
CONN_USB,J10,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
W25Q16JVUXIQ,U4,USON-8_L3.0-W2.0-P0.50-BL-EP,C2843335,1
TS-1089S-02526,"U5,U8",SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,C455282,2
AP2112K-3.3,U1,SOT-23-5,C51118,1
74AUP1T17GWH,"U3,U6",TSSOP-5_L2.1-W1.3-P0.65-LS2.2-BR,C545951,2
22uF,"C14,C15",C_0603_1608Metric,C59461,2
YELLOW,"D4,D7",LED_0603_1608Metric,C72038,2
