Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,33.75,32.0,180.0,top
C10,4.7u,C_0402_1005Metric,46.52,22.11,-45.0,top
C11,100n,C_0402_1005Metric,52.225,29.0,0.0,top
C12,100n,C_0402_1005Metric,45.04,35.65,135.0,top
C13,100n,C_0402_1005Metric,44.12,21.26,-135.0,top
C14,100n,C_0402_1005Metric,35.715,38.5,180.0,top
C15,100n,C_0402_1005Metric,38.88,31.23,135.0,top
C16,100n,C_0402_1005Metric,52.225,28.075,0.0,top
C17,100n,C_0402_1005Metric,38.87,26.23,-135.0,top
C18,100n,C_0402_1005Metric,51.425,23.575,-45.0,top
C19,10u,C_0402_1005Metric,49.92,51.97,0.0,top
C2,100n,C_0402_1005Metric,35.715,32.0,180.0,top
C20,100n,C_0402_1005Metric,41.0,39.9,180.0,top
C21,100n,C_0402_1005Metric,41.14,21.7,-135.0,top
C22,100n,C_0402_1005Metric,33.75,19.01,180.0,top
C23,100n,C_0402_1005Metric,35.75,19.0,180.0,top
C24,100n,C_0402_1005Metric,51.59,32.62,45.0,top
C25,100n,C_0402_1005Metric,40.955,35.15875,180.0,top
C26,100n,C_0402_1005Metric,35.75,25.5,180.0,top
C27,22uF,C_0603_1608Metric,47.53,52.13,0.0,top
C28,22uF,C_0603_1608Metric,50.52,39.21,90.0,top
C29,100n,C_0402_1005Metric,34.17,11.925,-90.0,top
C3,15p,C_0402_1005Metric,42.36,18.51,90.0,top
C30,100n,C_0402_1005Metric,36.41,11.96,-90.0,top
C4,15p,C_0402_1005Metric,47.64,18.5,-90.0,top
C5,100n,C_0402_1005Metric,33.75,25.5,180.0,top
C6,4.7u,R_0402_1005Metric,48.24,34.6,0.0,top
C7,4.7u,R_0402_1005Metric,48.24,35.54,0.0,top
C8,100n,C_0402_1005Metric,39.01,28.75,180.0,top
C9,4.7u,C_0402_1005Metric,50.44,35.0,-90.0,top
D1,RED,LED_0603_1608Metric,57.09,52.82,180.0,top
J2,Conn_01x04_Pin,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,45.37,8.42,180.0,top
J3,CONN_USB,USB-C-SMD_TYPE-C-6PIN-2MD-073,57.325,47.19,90.0,top
JP1,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,36.255,48.0,270.0,top
L1,3.3u,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,48.24,37.15,180.0,top
R1,10K,R_0402_1005Metric,40.62,36.65,90.0,top
R10,470,R_0402_1005Metric,54.68,52.97,180.0,top
R11,10K,R_0402_1005Metric,37.81,12.42,0.0,top
R12,10K,R_0402_1005Metric,37.81,11.47,0.0,top
R13,5k1,R_0402_1005Metric,53.9,41.5,180.0,top
R14,5k1,R_0402_1005Metric,53.9,40.5,180.0,top
R15,100,R_0402_1005Metric,35.1,11.925,90.0,top
R2,1k,R_0402_1005Metric,46.04,21.28,-45.0,top
R3,33,R_0402_1005Metric,50.44,36.85,-90.0,top
R4,100,R_0402_1005Metric,40.62,38.51,-90.0,top
R5,10K,R_0402_1005Metric,53.8,37.5,180.0,top
R6,100,R_0402_1005Metric,53.8,38.5,180.0,top
R7,27,R_0402_1005Metric,45.45,37.3,-90.0,top
R8,27,R_0402_1005Metric,46.39,37.3,-90.0,top
U1,RP2350_80QFN,QFN-80_L10.0-W10.0-P0.40-TL-EP3.4,45.24,28.5,0.0,top
U10,TXS0108ERGYR,VQFN-20_L4.6-W3.6-P0.50-BL-EP,35.75,35.25,90.0,top
U11,TXS0108ERGYR,VQFN-20_L4.6-W3.6-P0.50-BL-EP,35.75,28.75,90.0,top
U12,TXS0108ERGYR,VQFN-20_L4.6-W3.6-P0.50-BL-EP,35.75,22.25,90.0,top
U13,AMS1117-3.3,SOT-223-3_TabPin2,48.98,46.99,90.0,top
U15,SM08B-SRSS-TB(LF)(SN),CONN-TH_SM08B-SRSS-TB-LF-SN,57.493357,36.0,90.0,top
U16,TS-1089S-02526,SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,36.025,41.5,180.0,top
U17,TS-1089S-02526,SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,36.025,8.4,0.0,top
U2,W25Q64JWUUIQ,USON-8_L3.0-W2.0-P0.50-BL-EP,42.35,37.6,0.0,top
U3,SM08B-SRSS-TB(LF)(SN),CONN-TH_SM08B-SRSS-TB-LF-SN,57.493357,12.0,90.0,top
U4,SM08B-SRSS-TB(LF)(SN),CONN-TH_SM08B-SRSS-TB-LF-SN,57.493357,24.0,90.0,top
U5,BH-00018,CONN-SMD_321016MG0CBK00A0,18.75,48.0,180.0,top
U6,BH-00018,CONN-SMD_321016MG0CBK00A0,18.75,36.0,180.0,top
U7,BH-00018,CONN-SMD_321016MG0CBK00A0,18.75,24.0,180.0,top
U8,BH-00018,CONN-SMD_321016MG0CBK00A0,18.75,12.0,180.0,top
U9,TXS0108ERGYR,VQFN-20_L4.6-W3.6-P0.50-BL-EP,35.75,15.75,90.0,top
Y1,ABM8-272-T3,CRYSTAL-SMD_4P-L3.2-W2.5-BL,45.04,18.5,0.0,top
