Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,20.62,3.1,90.0,top
C10,100nF,C_0402_1005Metric,17.45,5.39,0.0,top
C11,2u2,C_0402_1005Metric,10.9,14.11,180.0,top
C14,22uF,C_0603_1608Metric,12.0,16.05,0.0,top
C15,22uF,C_0603_1608Metric,12.0,18.3,0.0,top
C16,100nF,C_0402_1005Metric,25.94,5.68,90.0,top
C17,100nF,C_0402_1005Metric,10.55,10.39,180.0,top
C18,100nF,C_0402_1005Metric,21.45,11.2258,0.0,top
C19,15pF,C_0402_1005Metric,21.45,8.4458,0.0,top
C2,100nF,C_0402_1005Metric,21.45,10.3058,0.0,top
C20,15pF,C_0402_1005Metric,22.45,12.65,180.0,top
C3,100nF,C_0402_1005Metric,16.5,14.6,180.0,top
C4,2u2,C_0402_1005Metric,13.9,14.6,0.0,top
C6,100nF,C_0402_1005Metric,7.7,5.35,180.0,top
C7,100nF,C_0402_1005Metric,10.55,9.47,180.0,top
C8,2u2,C_0402_1005Metric,13.57,4.54,-90.0,top
C9,2u2,C_0402_1005Metric,10.9,13.19,180.0,top
D1,GREEN,LED_0603_1608Metric,26.35,2.2,180.0,top
D2,RED,LED_0603_1608Metric,5.5,17.9,0.0,top
D4,YELLOW,LED_0603_1608Metric,26.35,3.75,180.0,top
D5,RED,LED_0603_1608Metric,5.5,16.35,0.0,top
D6,GREEN,LED_0603_1608Metric,5.45,2.1,0.0,top
D7,YELLOW,LED_0603_1608Metric,5.45,3.75,0.0,top
J10,CONN_USB,USB-C-SMD_TYPE-C-6PIN-2MD-073,3.525,10.0,-90.0,top
J2,Conn_01x08_MountingPin,CONN-TH_SM08B-SRSS-TB-LF-SN,29.493358,10.0,90.0,top
R1,470,R_0402_1005Metric,22.05,2.6,0.0,top
R10,5k1,R_0402_1005Metric,9.06,9.94,-90.0,top
R11,5k1,R_0402_1005Metric,8.12,9.94,90.0,top
R12,1K,R_0402_1005Metric,21.43,9.38,0.0,top
R13,100R,R_0402_1005Metric,21.95,6.65,90.0,top
R14,100R,R_0402_1005Metric,16.1,4.0,90.0,top
R15,100R,R_0402_1005Metric,14.86,4.0,90.0,top
R16,100R,R_0402_1005Metric,21.0,6.65,90.0,top
R17,100R,R_0402_1005Metric,19.35,5.4,180.0,top
R18,100R,R_0402_1005Metric,25.05,12.65,180.0,top
R19,10k,R_0402_1005Metric,20.1,14.6,0.0,top
R2,470,R_0402_1005Metric,22.05,3.55,0.0,top
R20,10k,R_0402_1005Metric,9.55,5.35,0.0,top
R24,27R,R_0402_1005Metric,10.48,11.32,180.0,top
R25,27R,R_0402_1005Metric,10.48,12.26,180.0,top
R3,470,R_0402_1005Metric,11.0,2.8,180.0,top
R4,470,R_0402_1005Metric,11.0,1.8,180.0,top
R5,470,R_0402_1005Metric,11.0,3.8,180.0,top
R6,470,R_0402_1005Metric,9.45,13.7,-90.0,top
R7,100R,R_0402_1005Metric,11.45,5.35,0.0,top
R9,100R,R_0402_1005Metric,17.05,4.0,90.0,top
U1,AP2112K-3.3,SOT-23-5,8.8,16.95,180.0,top
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,16.0,10.0,90.0,top
U3,74AUP1T17GWH,TSSOP-5_L2.1-W1.3-P0.65-LS2.2-BR,18.85,3.6,90.0,top
U4,W25Q16JVUXIQ,USON-8_L3.0-W2.0-P0.50-BL-EP,9.4,7.08,90.0,top
U5,TS-1089S-02526,SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,16.5,17.2,180.0,top
U6,74AUP1T17GWH,TSSOP-5_L2.1-W1.3-P0.65-LS2.2-BR,23.75,6.2,90.0,top
U8,TS-1089S-02526,SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,24.35,17.2,180.0,top
Y1,12MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,24.16,10.05,90.0,top
